label,heap_used_mb,rss_mb,external_mb
before_graph,0.000000,0.000000,0.000000
after_graph,0.377678,0.377678,0.000000
after_run,0.877678,0.877678,0.000000
estimated_delta,0.377678,0.377678,0.000000
