users,items,interactions,graph_memory_mb,run_memory_mb,latency_ms,ranking_ms,candidate_count,visited_nodes
100,50,500,1.8599999999999994,6.6200000000000045,3.817299999995157,0.012699999992037192,43,150
1000,500,10000,-14.439999999999998,-14.990000000000009,95.19499999997788,0.031199999997625127,488,1500
5000,2000,50000,-31.840000000000003,-27.189999999999998,538.0331000000006,0.05809999999473803,1988,6999
10000,5000,100000,21.929999999999993,55.21000000000001,1483.7088999999978,0.2353000000002794,4989,15000
