experiment,method,precision_at_k,recall_at_k,f1_at_k,ndcg_at_k,hit_rate_at_k,coverage,candidate_count
benchmark,neighborhood,0.020588235294117647,0.0023664638269100743,0.004244996967859308,0.022707698185948283,0.029411764705882353,0.21084337349397592,475.3235294117647
benchmark,randomWalkRestart,0.1470588235294118,0.48475930102175807,0.16196790774476,0.39064085571307716,0.6470588235294118,0.06827309236947791,475.7352941176471
benchmark,spreadingActivation,0.13823529411764707,0.446243894859293,0.14948363596118025,0.3738975667791095,0.6176470588235294,0.0783132530120482,475.29411764705884
benchmark,weightedInfluence,0.13529411764705884,0.41683213015341064,0.14413604237829256,0.3653956601227011,0.5882352941176471,0.0823293172690763,475.05882352941177
