depth,precision_at_k,recall_at_k,runtime_ms,visited_nodes,candidate_count
1,0,0,0.010713750001013978,12.4,0
2,0,0,0.1755200000021432,226.35,0
3,0.0025,0.010416666666666666,1.134448749999865,794.2625,567.9125
4,0.0025,0.010416666666666666,8.151448749999691,1779.3125,567.9125
5,0.0025,0.010416666666666666,14.843081249996612,1800,588.6
